bs,wfa,std,s1,s2,s3,s4,s5
6062.943330908147,6032.461713972572,5603.046733802505,2041.2595284755305,1679.4409077629282,3079.3179671823423,1141.8012755705686,766.0472216089139
5183.0833312600935,5177.416746580713,4967.124262848031,2078.8129161997476,1725.1869084724644,3399.014236188,1434.1733357186813,1019.5788468257587
5833.543330999908,5825.984300590455,5546.732986330023,2606.134973265107,2173.9712700486725,4239.152396726541,1791.0603431826457,1282.325615245135
5938.993330957728,5922.874119548066,5605.352234303649,3532.3845511988047,3144.468993690258,4762.700017140853,2966.4206179959,2468.1487353889815
5692.326664389728,5687.687233068034,5433.513732644693,4047.092018570511,3628.3303318383714,5270.2242846720055,3800.0583021795883,3193.0279110902893
5649.1599977403275,5640.91264767166,5397.285533692632,4570.415357072245,4279.095994453521,5498.081072723966,4452.613644571027,4009.4061595134194
5802.586664345625,5794.663070758281,5498.12345923471,4380.747547380657,3984.4769205656426,5793.8850216155315,4363.962062471219,3812.932533164231
5718.103331046084,5700.713220267111,5290.9932716862695,3754.6619446939744,3303.019154403018,5656.748422132811,3719.142182251457,3022.6138734052925
5696.643331054667,5669.711882830661,5381.578790918644,3046.100761205016,2677.890441440841,5661.771590925333,3008.221412715334,2420.768038911126
5749.42999770022,5742.986756983291,5563.294778488581,2807.7003492557183,2391.58230427851,5740.260265505956,2759.439889851264,2036.1944958057952
5564.676664440788,5558.9156638921995,5362.85053555187,2626.2602869136254,2215.2991738022197,5558.943922451847,2624.245774502359,1932.9647580859844
5931.469997627404,5917.632933635369,5611.668901576744,2188.8706081469863,1824.0641915471706,5876.701179996502,2172.402762282008,1493.5030459465934
